time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,Phi,Prager_term,Prager_term_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises,,,
37.016500000001,-0.74749327597402,-0.2491641383938,4.9199839198406E-24,0.005575499164743,1.7336875838791,0,4.0981297939267E-20,4.4922957402604,4.6313082231784E-20,-4.4415839610404,-3.2428500800531E-20,3.2428808619975E-20,9.3299743417576,9.3299681871628,-2.4472811142105E-09,-2.4472966301549E-09,3.2428644514329E-20,-3.2428379130991E-20,2.4472868752856E-09,2.4472904881473E-09,9.3299845757107,9.3299907302217,3.3929166315952,1.611666251222E-05,4.4922957402604E-06,-3.0726935110235E-12,0,360.31495515179,100000246.20955,-8.4057773464648E-14,-0.009322043697593,0.011928570863623,294.07190750526,-1.7712872250391E-07,829.34069543965,681.66560837251,,719.34069543965,829.34069543965
37.116500000001,-0.73784728832817,-0.24594881138246,4.8426907100058E-24,0.005578031364606,1.7336871445415,0,4.0349997877857E-20,4.4626609741646,4.5561060620497E-20,-4.4133819385179,-3.1901934004994E-20,3.1902237354514E-20,9.2707332460019,9.2707271172996,-2.4066361772258E-09,-2.4066514433243E-09,3.1902075844368E-20,-3.1901814243579E-20,2.4066418454865E-09,2.4066454004944E-09,9.2707434717997,9.2707496004189,3.3713726454471,1.6008225610371E-05,4.4626609741646E-06,-3.0765208610745E-12,0,360.31495526945,100000246.32137,-8.4314512579545E-14,-0.009322819706047,0.011928570863623,293.98067362398,-1.7540420102166E-07,829.09548419058,681.45094825603,,719.09548419058,829.09548419058
37.216500000001,-0.72835263312207,-0.242783928498,4.7670860486824E-24,0.005580546887907,1.7336867080877,0,3.9732298189738E-20,4.4333103737921,4.4826014676217E-20,-4.3854329763879,-3.1387253599102E-20,3.1387552572069E-20,9.2120237284175,9.2120176255026,-2.3669240186747E-09,-2.3669390405218E-09,3.1387393599827E-20,-3.1387135704002E-20,2.3669295962031E-09,2.3669330946416E-09,9.2120339459349,9.2120400487675,3.3500219796107,1.5900842691302E-05,4.4333103737921E-06,-3.0772869308976E-12,0,360.31495538633,100000246.43244,-8.4599007269973E-14,-0.009323590621988,0.011928570863623,293.89004085961,-1.7369217018451E-07,828.85189068113,681.23770443546,,718.85189068113,828.85189068113
37.316500000001,-0.7190065731151,-0.23966857732718,4.6931243887916E-24,0.005583045894341,1.73368627449,0,3.9127836281639E-20,4.4042405253735,4.4107471076695E-20,-4.3577343317651,-3.0884128161868E-20,3.0884422849207E-20,9.1538400273043,9.1538339500709,-2.3281182605796E-09,-2.3281330436149E-09,3.0884266358856E-20,-3.0884012092407E-20,2.3281237493996E-09,2.3281271925183E-09,9.1538502364175,9.1538563135684,3.3288625386827,1.5794500947926E-05,4.4042405253734E-06,-3.0776825842826E-12,0,360.31495550245,100000246.54279,-8.4807174127407E-14,-0.009324356493997,0.011928570863623,293.80000345317,-1.7199873028376E-07,828.6098993914,681.02586332235,,718.6098993914,828.6098993914
37.416500000001,-0.70980642671092,-0.2366018640048,4.6207616237535E-24,0.005585528541683,1.7336858437214,0,3.8536260909676E-20,4.3754480644399,4.3404971987043E-20,-4.3302832959851,-3.0392237116577E-20,3.0392527606851E-20,9.0961764528456,9.0961704011882,-2.2901933991095E-09,-2.2902079486227E-09,3.0392373543906E-20,-3.0392122833182E-20,2.2901988011894E-09,2.2902021902034E-09,9.0961866534323,9.0961927050071,3.3078922534033,1.5689187759897E-05,4.3754480644399E-06,-3.0766782337378E-12,0,360.3149556178,100000246.65241,-8.518881333235E-14,-0.009325117370078,0.011928570863623,293.71055571483,-1.7034130026253E-07,828.36949498808,680.81541149163,,718.36949498808,828.36949498808
37.516500000001,-0.70074956670255,-0.23358291279513,4.5499550356905E-24,0.005587994985825,1.7336854157548,0,3.7957231775116E-20,4.3469296749738,4.2718074482437E-20,-4.3030771941143,-2.9911270326573E-20,2.9911556706049E-20,9.0390273860803,9.039021359894,-2.2531247716106E-09,-2.253139092747E-09,2.9911405017514E-20,-2.9911157790728E-20,2.2531300888649E-09,2.2531334249566E-09,9.0390375780204,9.0390436041238,3.2871090802815,1.5584890690364E-05,4.3469296749738E-06,-3.0756252430896E-12,0,360.3149557324,100000246.76132,-8.5459430234767E-14,-0.009325873297659,0.011928570863622,293.62169202289,-1.6869168246522E-07,828.13066232176,680.60633567921,,718.13066232176,828.13066232176
37.616500000001,-0.69183341904763,-0.23061086568438,4.4806632456567E-24,0.005590445380794,1.7336849905639,0,3.739041913577E-20,4.3186820885915,4.2046349994865E-20,-4.2761133844683,-2.9440927707855E-20,2.9441210060581E-20,8.9823872778894,8.9823812770698,-2.216888525026E-09,-2.2169026227903E-09,2.9441060694895E-20,-2.9440816882075E-20,2.2168937593166E-09,2.2168970436363E-09,8.9823974610649,8.9824034618014,3.2665110012268,1.5481597482853E-05,4.3186820885915E-06,-3.0782302410973E-12,0,360.31495584625,100000246.86952,-8.5743924924871E-14,-0.009326624323608,0.011928570863622,293.53340682278,-1.670693204075E-07,827.89338642425,680.39862277974,,717.89338642425,827.89338642425
37.716500000001,-0.68305546167261,-0.22768488198161,4.4128461658467E-24,0.005592879878785,1.7336845681223,0,3.6835503432711E-20,4.2907020837052,4.1389383782816E-20,-4.2493892581384,-2.8980918857761E-20,2.8981197265631E-20,8.926250648004,8.9262446724464,-2.1814615856376E-09,-2.1814754648989E-09,2.8981050172623E-20,-2.8980809705559E-20,2.1814667387759E-09,2.1814699724431E-09,8.9262608222984,8.926266797772,3.2460960231881,1.5379296058076E-05,4.2907020837052E-06,-3.0739115633989E-12,0,360.31495595937,100000246.97702,-8.5952091781963E-14,-0.009327370494235,0.011928570863622,293.44569462615,-1.654607711662E-07,827.65765250606,680.19225984431,,717.65765250606,827.65765250606
37.816500000001,-0.67441322330838,-0.22480413793062,4.3464649537704E-24,0.005595298630182,1.7336841484041,0,3.6292174932249E-20,4.2629864847305,4.0746774422832E-20,-4.2229022385243,-2.8530962698947E-20,2.8531237241761E-20,8.8706120840214,8.8706061336209,-2.1468216300706E-09,-2.1468352955666E-09,2.8531092372603E-20,-2.8530855184803E-20,2.1468267038193E-09,2.1468298879233E-09,8.870622249319,8.8706281996353,3.2258621777964,1.5277974510904E-05,4.2629864847305E-06,-3.073935753492E-12,0,360.31495607175,100000247.08383,-8.6208830896263E-14,-0.009328111855303,0.011928570863621,293.35855000986,-1.6387249685345E-07,827.42344595372,679.98723407817,,717.42344595372,827.42344595372
37.916500000001,-0.66590428235814,-0.22196782633267,4.2814819681739E-24,0.00559770178359,1.7336837313837,0,3.5760133381392E-20,4.2355321613248,4.0118133321968E-20,-4.1966497808775,-2.8090787138018E-20,2.8091057893546E-20,8.8154662404467,8.8154603150988,-2.1129470575041E-09,-2.1129605138454E-09,2.8090915200717E-20,-2.8090681227347E-20,2.1129520535782E-09,2.1129551891794E-09,8.8154763966336,8.8154823218979,3.2058075210159,1.5177621107459E-05,4.2355321613248E-06,-3.0751656033276E-12,0,360.31495618341,100000247.18994,-8.6493325586068E-14,-0.009328848452034,0.011928570863621,293.27196761509,-1.6230653997446E-07,827.19075232736,679.78353283854,,717.19075232736,827.19075232736
38.016500000001,-0.65752626578389,-0.21917515617514,4.2178607267392E-24,0.005600089485856,1.7336833170359,0,3.5239087677105E-20,4.2083360275819,3.9503084250199E-20,-4.1706293718504,-2.7660128738113E-20,2.766039578216E-20,8.7608078377463,8.7608019373458,-2.0798169630299E-09,-2.0798302147037E-09,2.7660255219398E-20,-2.7660024397237E-20,2.0798218830987E-09,2.0798249712292E-09,8.7608179847099,8.7608238850271,3.1859301327997,1.5078224282052E-05,4.2083360275819E-06,-3.0762036023402E-12,0,360.31495629435,100000247.29537,-8.6687614655025E-14,-0.009329580329121,0.011928570863621,293.18594214644,-1.6075761902243E-07,826.95955735822,679.5811436325,,716.95955735822,826.95955735822
38.116500000001,-0.64927684803045,-0.21642535227323,4.1555658654266E-24,0.005602461882093,1.7336829053356,0,3.4728755548306E-20,4.1813950413171,3.8901262891862E-20,-4.1448385290526,-2.7238732404827E-20,2.723899581129E-20,8.7066316614147,8.7066257858567,-2.0474111121087E-09,-2.0474241634827E-09,2.723885733356E-20,-2.7238629600946E-20,2.0474159577965E-09,2.0474189994617E-09,8.7066417990443,8.7066476745189,3.1662281167506,1.4979772634446E-05,4.1813950413171E-06,-3.0758366884178E-12,0,360.31495640458,100000247.40013,-8.7027620495894E-14,-0.009330307530727,0.011928570863621,293.10046837095,-1.5922667900692E-07,826.72984694612,679.38005411475,,716.72984694612,826.72984694612
