time,Dynamic_hardening_term,Dynamic_hardening_term_avg,Energy,Ep_eff,F_norm,First_term_KM,First_term_KM_avg,Phi,Prager_term,Prager_term_avg,Second_term_KM,Second_term_KM_avg,Static_hardening_term,Static_hardening_term_avg,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,entropy_generation_rate,gamma_dot_average,phi_1,phi_2,strain_zz,ssd,strain_xx,stress_zz,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
21.427,-6.8398554349038E-79,-2.2798981404464E-79,2.1365447136335E-100,0.002817684038248,1.7320866921205,2.4461548376065E-95,5.6583892633031E-75,0,9.7846193504262E-95,2.2633514809801E-74,1.9040428866493E-98,4.4049510949778E-78,1.4785301175E-18,-0.00080664749576,-1.0353042064243E-18,1.0352686353393E-18,0.001694442755334,0.001694442216046,-1.180976712243E-07,-1.18100479071E-07,1.0353029950754E-18,-1.0352662446626E-18,1.1809778111155E-07,1.1810035910251E-07,0.00169444292322,0.001694443464827,0.000624274189428,1.4977398894759E-81,2.2633514809801E-80,-6.1746857269605E-12,0,0.002569695470228,100000124.42981,-3.5561833397386E-15,13.957521654106,0.002569695470228,5.3486709901579,1.6434577168986E-06,13.957521654106,12.196986070288
22.427,-2.5471967478809E-53,-8.4907207574778E-54,2.2688980368848E-73,0.002817684038248,1.7318625956142,3.889473501569E-69,8.013976489283E-49,2.3875203146252,-1.5557894006276E-68,-3.205584612788E-48,3.027990223628E-72,6.2387320611779E-52,3.8878012962444E-19,-0.000212108305574,-2.7223368588186E-19,2.7222433244978E-19,0.000445554450506,0.0004455543087,-3.1053833387283E-08,-3.105457171178E-08,2.7223336735715E-19,-2.7222370382031E-19,3.1053862282182E-08,3.1054540166013E-08,0.000445554494652,0.000445554637068,0.000164151032049,1.4146830656746E-54,-3.205584612788E-54,-158.2059536603,177.22687760202,0.001571764112224,100000124.42981,-3.7921057431747E-15,-93.055408058343,0.001571764112224,-35.722327099468,-2.1567704085773E-05,-93.055408058343,81.30950202676
23.427,-5.8219887353131E-36,-1.9406698968842E-36,5.2028112026065E-55,0.002817684038248,1.7316364355294,4.158114095444E-51,6.9601702768003E-31,3.5004070923473,-1.6632456381776E-50,-2.7840629145362E-30,3.2370607026329E-54,5.4183634697706E-34,1.0231501425706E-19,-5.5820405044352E-05,-7.1643562337307E-20,7.164110080066E-20,0.000117256275417,0.000117256238098,-8.1724171675788E-09,-8.1726114719572E-09,7.1643478511365E-20,-7.1640935364652E-20,8.1724247718307E-09,8.1726031700782E-09,0.000117256287035,0.000117256324514,4.3199520512145E-05,2.6245519615406E-36,-2.7840629145362E-36,-158.22018092386,177.25007178254,0.000572835892356,100000124.42981,-4.1251726640734E-15,-198.77890945231,0.000572835892356,-76.622692660894,-4.5916116160102E-05,-198.77890945231,173.64649130306
24.427,-5.9891457472826E-27,-1.996386853776E-27,3.8122126821266E-45,0.002817684038248,1.7314082133348,1.9893264458292E-41,2.7206807715629E-21,4.3367761653962,-7.9573057833166E-41,-1.0882702774775E-20,1.5486666204535E-44,2.1179995200234E-24,2.6926175863296E-20,-1.469021974828E-05,-1.8854389778226E-20,1.8853741977225E-20,3.0858257860551E-05,3.0858248039338E-05,-2.1507297191943E-09,-2.1507808541514E-09,1.8854367717807E-20,-1.8853698439538E-20,2.1507317204003E-09,2.1507786693513E-09,3.0858260917994E-05,3.0858270781443E-05,1.136878976137E-05,1.5649071335596E-26,-1.0882702774775E-26,-158.23476526948,177.27319150153,-0.000427091182954,100000124.42981,-4.4582395849705E-15,-303.21207650355,-0.000427091182954,-117.35101740482,-6.9807050127424E-05,-303.21207650355,264.81417937521
25.427,-5.7254681088803E-21,-1.9084930808179E-21,2.2784867250316E-38,0.002817684038248,1.7311779512924,8.8360321377343E-35,9.8829857064063E-15,5.0363268446242,-3.5344128550937E-34,-3.9531869043456E-14,6.8787253034342E-38,7.6937210720762E-18,7.0861442173049E-21,-3.8660155855534E-06,-4.9618975147491E-21,4.9617270333803E-21,8.1209476696823E-06,8.1209450850401E-06,-5.6600614361392E-10,-5.6601960076737E-10,4.9618917091231E-21,-4.9617155755956E-21,5.6600667027001E-10,5.6601902579495E-10,8.1209484743077E-06,8.120951070065E-06,2.9919170145126E-06,7.618520852555E-20,-3.9531869043456E-20,-158.24970737547,177.29623586864,-0.001428019113273,100000124.42981,-4.7843676119588E-15,-406.36668077813,-0.001428019113273,-157.90832682726,-9.3251306197805E-05,-406.36668077813,354.82415880071
26.427,-1.4252162416411E-16,-4.7507285777304E-17,3.3107501372818E-33,0.002817684038244,1.7309456713053,1.0224194158509E-29,9.3543085422837E-10,5.6501091395771,-4.0896776634035E-29,-3.7417164333938E-09,7.9593768956516E-33,7.2821557052155E-13,1.8648559649089E-21,-1.0167395231759E-06,-1.3058193417869E-21,1.3057744763158E-21,2.1357618118824E-06,2.1357611399315E-06,-1.4895546925002E-10,-1.4895901076035E-10,1.3058178139242E-21,-1.3057714609779E-21,1.4895560784976E-10,1.4895885944524E-10,2.1357620284734E-06,2.1357627033656E-06,7.8689222356755E-07,9.0189753023572E-15,-3.7417164333938E-15,-158.26500802306,177.31920440155,-0.002429949904176,100000124.42981,-5.0411066999081E-15,-508.25437050888,-0.002429949904176,-198.29563120582,-0.000116259355047,-508.25437050888,443.68790736337
27.427,1.0087565670538E-11,3.3625321065268E-12,4.8706271850409E-29,0.0028176840014,1.730711394933,1.2505094729083E-25,9.3587648022131E-06,6.2036331820724,-5.0020378916332E-25,-3.7434989340469E-05,9.7350124635059E-29,7.2856248209201E-09,4.9067439458705E-22,7.1929838305987E-06,-3.4358263244838E-22,3.4357082456E-22,-1.5109597438585E-05,-1.5109513113033E-05,-3.9200260812316E-11,-3.9201192831131E-11,3.4358223100202E-22,-3.4357003068369E-22,3.9200297287223E-11,3.9201153009953E-11,-1.5109550436135E-05,-1.5109634614749E-05,-5.2090580515487E-06,1.0809842186929E-10,-3.7434989340469E-11,-158.28067889494,177.34209858424,-0.003432885567271,100000124.42981,-5.3186624695529E-15,-608.88666944239,-0.003432885567271,-238.51392464492,-0.000138829010118,-608.88666944239,531.41678712451
28.427,5.3799729376418E-05,1.7933291329242E-05,1.5141675414605E-25,0.002817594733995,1.7304751619665,3.3286589388962E-22,0.020311329394287,6.7117865818477,-1.3314635755585E-21,-0.081245165939601,2.5913048179465E-25,1.5811993218395E-05,-1.5617533064327E-22,0.017675952740639,1.0934815809541E-22,-1.093528885477E-22,-0.03713013706864,-0.037129947959589,-9.7869879635598E-12,-9.7872363146877E-12,-1.0934655894293E-22,1.0935390909419E-22,9.7869969411232E-12,9.7872265127632E-12,-0.037130036738228,-0.037130225552785,-0.012899422583817,2.7286268187106E-07,-8.1245165939608E-08,-158.30862557693,177.36659229402,-0.004436828120227,100000124.43375,-5.5615237694326E-15,-708.26726065958,-0.004436828120227,-278.56107507329,-0.000132373895185,-708.26726065958,618.01534355498
29.427,2.9403276702364,0.98011006300373,1.3585148212477E-22,0.002787886100552,1.7302432511007,2.6208525611787E-19,3.8588195788267,7.1725695806557,-1.0483410244715E-18,-15.435249291286,2.0402873598713E-22,0.003004019514264,-2.4889383438194E-19,5.0848899800482,1.7427365510731E-19,-1.7427482951443E-19,-10.68131997827,-10.681296666274,3.3237655840698E-10,3.3237504332442E-10,-1.7427233065754E-19,1.7427537033732E-19,-3.3237695085572E-10,-3.3237461343977E-10,-10.681308485379,-10.681331761939,-3.7921575684064,5.6931597505622E-05,-1.5435249291296E-05,-160.39536547886,177.68005160252,-0.005441779586796,100000125.74565,-5.7905072181202E-15,-803.90044327265,-0.005441779586796,-317.41896227558,0.003303341047012,-803.90044327265,701.31389544263
30.427,26.466861392852,8.8222894991776,2.9373535074561E-20,0.002634109437378,1.7300363892956,5.1116891003931E-17,9.3011137710056,7.5594002144885,-2.0446756401572E-16,-37.20438154613,3.9793550904929E-20,0.007240745341891,-5.5238086082393E-17,18.989240386632,3.8677396281593E-17,-3.8677609532122E-17,-39.888781258483,-39.888756008971,5.5831202171762E-08,5.5831048153914E-08,-3.8677138304949E-17,3.8677685876952E-17,-5.5831270550834E-08,-5.5830972485131E-08,-39.888770100668,-39.888795309523,-14.411758144422,0.000139452429304,-3.7204381546121E-05,-164.17802136444,178.21372355583,-0.006447741996835,100000132.53628,-5.9986739237635E-15,-888.0658683649,-0.006447741996835,-351.88592448993,0.004448654570047,-888.0658683649,774.59171661483
31.427,75.62284527882,25.207619152979,2.0196505224625E-18,0.002341812417967,1.7298587619303,3.2415985815477E-15,16.113298693229,7.8780696169956,-1.2966394326191E-14,-64.453051028131,2.5235213064873E-18,0.012543907829317,-4.0219723947548E-15,31.319062799503,2.8161682849814E-15,-2.8161809162754E-15,-65.788785639007,-65.788760650914,3.1662847330542E-06,3.1662809190601E-06,-2.8161515950266E-15,2.8161832596498E-15,-3.1662889124402E-06,-3.1662762352318E-06,-65.788776394577,-65.788801340441,-23.84443132398,0.000244168133023,-6.4453051028078E-05,-172.4229795898,179.2638838326,-0.007454717386336,100000145.44386,-6.1235738378854E-15,-959.94492825643,-0.007454717386336,-381.52550803336,0.007921935886926,-959.94492825643,837.15179581353
32.427,150.48242588494,50.160813397807,4.8306268308113E-17,0.001876859401147,1.729718885039,7.2995651423213E-14,24.380608460741,8.1248072403223,-2.9198260569285E-13,-97.522108480554,5.6825607477543E-17,0.018979862632418,-1.0676238835928E-13,41.189066508024,7.4754735891864E-14,-7.4755007631335E-14,-86.521690272384,-86.52166605644,6.8565660970945E-05,6.8565695108323E-05,-7.4754347796897E-14,7.4754967291599E-14,-6.8565761989028E-05,-6.8565580163875E-05,-86.521683934659,-86.521708101553,-31.401928579204,0.000372395915771,-9.7522089410746E-05,160.63325437095,-177.78240091753,-0.008462707797446,100000165.97589,-6.1096958620069E-15,-1017.1071529614,-0.008462707797446,-405.2362737627,0.012870897440126,-1017.1071529614,886.88950410799
33.427,240.1217766967,80.040595521782,4.3544723010049E-16,0.001217596309885,1.7296225503993,6.3135729893066E-13,33.193610121121,8.2987336222095,-2.5254291957227E-12,-132.77341669412,4.9149768666313E-16,0.025840635937236,-1.1209732026645E-12,48.274714735613,7.8490404845351E-13,-7.8490647358868E-13,-101.40577228176,-101.40574908184,0.000619031112432,0.0006190325677,-7.8490061433871E-13,7.8490470283423E-13,-0.000619032158831,-0.000619031357537,-101.40576974437,-101.40579283995,-36.832045962096,0.000509895210979,-0.00013277337604,98.726286953701,-140.44106516533,-0.009471715278493,100000195.08872,-6.1027570849547E-15,-1058.1666075492,-0.009471715278493,-422.35536832837,-0.002028595333725,-1058.1666075492,922.59160836632
