time,Ep_eff,F_norm,Phi,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
1.9165,9.2447232875092e-49,1.7324753881466,0,-4.9460860530757e-51,4.9460860530768e-51,5.4628255194417e-30,5.4628255194419e-30,-2.3812167942023e-40,-2.3812167942021e-40,4.9460860530759e-51,-4.9460860530766e-51,2.3812167942024e-40,2.381216794202e-40,5.4628255194418e-30,5.4628255194418e-30,1.9448688788226e-30,4.6161544818911e-35,3.8134826771522e-16,0,355.31469625632,100000000,-1.8298120220674e-16,-0.0011842525667124,0.0019146658566701,74.879579468715,2.2828447011299e-07,197.35931309647,172.56728385264
2.0165,1.8772306499597e-47,1.7324974723512,0,-6.6476925190514e-50,6.6476925190545e-50,7.4146143024725e-29,7.4146143024741e-29,-3.2514412870152e-39,-3.2514412870154e-39,6.6476925190554e-50,-6.6476925190505e-50,3.2514412870151e-39,3.2514412870154e-39,7.4146143024742e-29,7.4146143024724e-29,2.6421579413054e-29,6.0117120347126e-34,2.0687003756605e-16,0,355.31469625632,100000000,-1.994289507197e-16,-0.001246339356366,0.0020144695926928,78.787643762007,2.4034927984763e-07,207.70121126387,181.61221561116
2.1165,1.4545742056267e-46,1.7325195495742,0,-7.8751473707634e-49,7.8751473707619e-49,8.8703002524497e-28,8.8703002524498e-28,-3.9131870560106e-38,-3.9131870560111e-38,7.8751473707634e-49,-7.8751473707619e-49,3.9131870560106e-38,3.9131870560111e-38,8.8703002524497e-28,8.8703002524498e-28,3.1635370627585e-28,6.9137491577306e-33,2.7614213130592e-16,0,355.31469625632,100000000,-2.2821251061739e-16,-0.0013084555210915,0.0021142633689239,82.695806713228,2.5241589658783e-07,218.04748641073,190.66119141437
2.2165,1.3080461230664e-45,1.7325416198066,0,-8.3195967855355e-48,8.3195967855379e-48,9.4633283901898e-27,9.4633283901894e-27,-4.1999133251205e-37,-4.1999133251194e-37,8.3195967855363e-48,-8.3195967855371e-48,4.1999133251199e-37,4.1999133251199e-37,9.4633283901902e-27,9.463328390189e-27,3.3776448099612e-27,7.1029356824463e-32,1.1795606602861e-16,0,355.31469625632,100000000,-2.6521994477157e-16,-0.0013706010870764,0.002214047187351,86.60406875821,2.6451702150542e-07,228.39814045784,199.71421318047
2.3165,1.2474395238124e-44,1.7325636830393,0,-7.9178041373425e-47,7.9178041373428e-47,9.0951193154517e-26,9.095119315451e-26,-4.0607676468326e-36,-4.060767646832e-36,7.9178041373425e-47,-7.9178041373427e-47,4.0607676468321e-36,4.0607676468325e-36,9.0951193154517e-26,9.095119315451e-26,3.2485405270556e-26,6.5843886308133e-31,2.2896921164785e-17,0,355.31469625632,100000000,-2.7138785046393e-16,-0.0014327760805472,0.002313821049961,90.512430333163,2.7662554670108e-07,238.75317532801,208.77128282942
2.4165,1.0401681525553e-43,1.7325857392633,0,-6.8487179739745e-46,6.8487179739749e-46,7.9446533970886e-25,7.9446533970888e-25,-3.5684302357445e-35,-3.5684302357445e-35,6.8487179739754e-46,-6.848717973974e-46,3.5684302357444e-35,3.5684302357446e-35,7.944653397089e-25,7.9446533970884e-25,2.8394998052869e-25,5.5556822035322e-30,-1.498233360633e-16,0,355.31469625632,100000000,-2.7755575615629e-16,-0.0014949805277674,0.0024135849587405,94.4208918747,2.8874185067794e-07,249.11259294602,217.83240228288
2.5165,7.4411265743336e-43,1.7326077884694,0,-5.4261302781064e-45,5.4261302781064e-45,6.3564981685941e-24,6.3564981685939e-24,-2.8722477048974e-34,-2.8722477048973e-34,5.4261302781069e-45,-5.426130278106e-45,2.8722477048971e-34,2.8722477048976e-34,6.3564981685943e-24,6.3564981685937e-24,2.2732720571342e-24,4.2996340876175e-29,-1.211089009367e-16,0,355.31469625632,100000000,-3.0222737892574e-16,-0.0015572144550368,0.0025133389156756,98.329453819883,3.008922847732e-07,259.47639523878,226.8975734643
2.6165,5.7882537367153e-42,1.7326298306486,0,-3.9648465557628e-44,3.9648465557626e-44,4.6904676058649e-23,4.6904676058649e-23,-2.1321659695891e-33,-2.1321659695891e-33,3.964846555763e-44,-3.9648465557624e-44,2.132165969589e-33,2.1321659695892e-33,4.690467605865e-23,4.6904676058648e-23,1.6784094591051e-23,3.0728038537272e-28,-4.4379231107783e-16,0,355.31469625632,100000000,-3.1250722174634e-16,-0.0016194778886943,0.0026130829227511,102.23811660613,3.1304094669977e-07,269.84458413515,235.96679829887
2.7165,4.0591287995571e-41,1.7326518657917,0,-2.6881938801554e-43,2.688193880156e-43,3.2115330824108e-22,3.211533082411e-22,-1.4686467887897e-32,-1.4686467887897e-32,2.6881938801561e-43,-2.6881938801553e-43,1.4686467887897e-32,1.4686467887897e-32,3.2115330824111e-22,3.2115330824107e-22,1.1498097183972e-22,2.0401055810717e-27,-3.2749616255676e-16,0,355.31469625632,100000000,-3.2689900169518e-16,-0.0016817708551157,0.0027128169819522,106.14688067132,3.2520925443119e-07,280.21716156605,245.04007871352
2.8165,2.1539080286559e-40,1.7326738938896,0,-1.7003891386262e-42,1.700389138626e-42,2.0514559496602e-21,2.05145594966e-21,-9.4377059022329e-32,-9.4377059022323e-32,1.7003891386259e-42,-1.7003891386264e-42,9.4377059022327e-32,9.4377059022324e-32,2.0514559496601e-21,2.0514559496602e-21,7.3483978334156e-22,1.2650464406414e-26,4.2195691350344e-16,0,355.31469625632,100000000,-3.6185046728524e-16,-0.0017440933807152,0.0028125410952623,110.05574645371,3.3738799643269e-07,290.59412946446,254.11741663696
2.9165,1.5627877851267e-39,1.7326959149332,0,-1.0083190388367e-41,1.0083190388369e-41,1.228496453079e-20,1.2284964530791e-20,-5.6856042092377e-31,-5.6856042092378e-31,1.0083190388369e-41,-1.0083190388368e-41,5.6856042092379e-31,5.6856042092376e-31,1.2284964530791e-20,1.2284964530791e-20,4.4025849220267e-21,7.3616293409635e-26,-2.8401000391297e-16,0,355.31469625632,100000000,-4.1736161851649e-16,-0.0018064454919447,0.0029122552646647,113.96471439198,3.4958256683864e-07,300.9754897654,263.19881399963
