time,Ep_eff,F_norm,Phi,backstress01,backstress02,backstress03,backstress04,backstress05,backstress06,backstress07,backstress08,backstress09,backstress10,backstress11,backstress12,backstress_avg,gamma_dot_average,phi_1,phi_2,slip_resistance_avg,ssd,strain_xx,strain_yy,strain_zz,stress_xx,stress_yy,stress_zz,vonmises
2.4165,1.0342763572303E-42,1.7325789280617,0,-1.0588204774274E-44,1.0588204774279E-44,9.6346643285745E-24,9.6346643285762E-24,-3.7291666794376E-34,-3.7291666794376E-34,1.0588204774279E-44,-1.0588204774275E-44,3.7291666794377E-34,3.7291666794375E-34,9.634664328576E-24,9.6346643285747E-24,3.4434945740411E-24,6.4934481862508E-29,-1.8359690921565E-16,0,355.31469625632,100000000,-2.7755575615629E-17,-0.001506816972573,0.00241358495874,99.662264379557,3.1212719219569E-07,,228.74494808405
2.5165,9.0152520352755E-42,1.7326006933627,0,-8.3998314514203E-44,8.3998314514175E-44,7.7186633664061E-23,7.7186633664054E-23,-3.0056372980892E-33,-3.0056372980894E-33,8.3998314514174E-44,-8.3998314514205E-44,3.0056372980894E-33,3.0056372980892E-33,7.7186633664051E-23,7.7186633664065E-23,2.7603966843257E-23,5.0255110650736E-28,-3.9358533782782E-16,0,355.31469625632,100000000,-2.7755575615629E-17,-0.001569545964472,0.002513338915675,103.78784482785,3.2525284363559E-07,,238.26433846157
2.6165,6.3095868076521E-41,1.7326224514726,0,-6.1457012941743E-43,6.1457012941739E-43,5.7029570769654E-22,5.702957076966E-22,-2.234153095072E-32,-2.2341530950724E-32,6.1457012941741E-43,-6.1457012941741E-43,2.2341530950724E-32,2.234153095072E-32,5.7029570769653E-22,5.702957076966E-22,2.0406934725511E-22,3.5916527073505E-27,7.208849473598E-17,0,355.31469625632,100000000,-2.7755575615629E-17,-0.001632304884747,0.00261308292275,107.91353584546,3.383892837092E-07,,247.7879928775
2.7165,2.6700985691217E-40,1.7326442023821,0,-4.1722254184345E-42,4.172225418435E-42,3.9097897211226E-21,3.9097897211228E-21,-1.5409327157371E-31,-1.5409327157371E-31,4.1722254184348E-42,-4.1722254184348E-42,1.5409327157371E-31,1.540932715737E-31,3.9097897211227E-21,3.9097897211227E-21,1.3997899100069E-21,2.3846404781502E-26,-4.1830226163029E-16,0,355.31469625632,100000000,-2.7755575615629E-17,-0.001695093760353,0.002712816981951,112.0393379,3.5155196415936E-07,,257.31591337568
2.8165,1.8126155107858E-39,1.732665946082,0,-2.6425001429191E-41,2.6425001429187E-41,2.5006763781998E-20,2.5006763781997E-20,-9.9152646050426E-31,-9.915264605043E-31,2.6425001429187E-41,-2.642500142919E-41,9.9152646050429E-31,9.9152646050426E-31,2.5006763781996E-20,2.5006763781998E-20,8.9574383968105E-21,1.4787253435588E-25,2.4264863639663E-16,0,355.31469625632,100000000,-2.7755575615629E-17,-0.001757912618286,0.002812541095261,116.16525145952,3.6471249336511E-07,,266.84810200187
2.9165,1.1431317003219E-38,1.7326876825628,0,-1.5689951428171E-40,1.568995142817E-40,1.4994112440268E-19,1.499411244027E-19,-5.9811296321462E-30,-5.9811296321476E-30,1.5689951428172E-40,-1.5689951428168E-40,5.9811296321471E-30,5.9811296321467E-30,1.4994112440268E-19,1.4994112440269E-19,5.3734160070958E-20,8.6052953907162E-25,7.299609784369E-17,0,355.31469625632,100000000,-2.7755575615629E-17,-0.001820761485576,0.002912255264664,120.29127699255,3.779091452902E-07,,276.38456080369
3.0165,5.9721144238159E-38,1.7327094118152,0,-8.7716679062429E-40,8.7716679062401E-40,8.4652130474909E-19,8.465213047491E-19,-3.3971527383996E-29,-3.3971527384003E-29,8.7716679062421E-40,-8.7716679062409E-40,3.3971527383998E-29,3.3971527384E-29,8.4652130474906E-19,8.4652130474913E-19,3.0349997657513E-19,4.7198091639965E-24,4.6873627498358E-17,0,355.31469625632,100000000,-2.7755575615629E-17,-0.001883640389298,0.003011959492143,124.417414968,3.9109809377616E-07,,285.92529183062
3.1165,3.2043518911136E-37,1.7327311338298,0,-4.6355970259949E-39,4.6355970259956E-39,4.5177041826984E-18,4.5177041826984E-18,-1.8239326341914E-28,-1.8239326341912E-28,4.635597025995E-39,-4.6355970259955E-39,1.8239326341914E-28,1.8239326341913E-28,4.5177041826984E-18,4.5177041826983E-18,1.6203857346327E-18,2.4493278593138E-23,-8.9814369737142E-16,0,355.31469625632,100000000,-4.1633363423443E-17,-0.001946549356561,0.00311165377968,128.54366585531,4.04336448768E-07,,295.4702971341
3.2165,1.3011827797733E-36,1.7327528485973,0,-2.3240140312529E-38,2.3240140312532E-38,2.2872156725465E-17,2.2872156725466E-17,-9.2898999996268E-28,-9.2898999996265E-28,2.3240140312529E-38,-2.3240140312532E-38,9.2898999996274E-28,9.289899999626E-28,2.2872156725465E-17,2.2872156725466E-17,8.2068658029016E-18,1.2068592286293E-22,1.7401379074506E-16,0,355.31469625632,100000000,-4.1633363423443E-17,-0.002009488414517,0.003211338129256,132.6700301243,4.1757535030333E-07,,305.0195787674
3.3165,7.3955589692339E-36,1.7327745561082,0,-1.1088829813359E-37,1.108882981336E-37,1.1020725952302E-16,1.1020725952302E-16,-4.5032508027164E-27,-4.5032508027162E-27,1.108882981336E-37,-1.1088829813359E-37,4.503250802716E-27,4.5032508027165E-27,1.1020725952302E-16,1.1020725952301E-16,3.9558571626803E-17,5.6641731038762E-22,-3.6249644567236E-16,0,355.31469625632,100000000,-4.1633363423443E-17,-0.002072457590355,0.003311012542853,136.79650824527,4.308249466253E-07,,314.57313878573
